weight_dvdl,dvdl,Run,Lambda
20.284416629,379.3607,1,2
20.519433319999997,383.756,1,2
21.491533961,401.9363,1,2
22.163256182999998,414.4989,1,2
20.518037752999998,383.7299,1,2
20.883858104999998,390.5715,1,2
20.37051937,380.971,1,2
20.442907056,382.3248,1,2
21.085258207,394.3381,1,2
21.443822679999997,401.044,1,2
20.124241896999997,376.3651,1,2
20.994599821999998,392.6426,1,2
20.487297849999997,383.155,1,2
21.581818056,403.6248,1,2
20.805160959,389.0997,1,2
21.498057300999996,402.0583,1,2
20.723111244,387.5652,1,2
20.910860454999998,391.0765,1,2
20.607535839,385.4037,1,2
20.751985044,388.1052,1,2
21.050609646999998,393.6901,1,2
20.340233962,380.4046,1,2
20.564246527,384.5941,1,2
21.106881474999998,394.7425,1,2
20.205671359999997,377.888,1,2
20.34399825,380.475,1,2
20.897321851,390.8233,1,2
21.088380855,394.3965,1,2
22.057717096999998,412.5251,1,2
20.02280396,374.468,1,2
20.400847554,381.5382,1,2
20.627790275,385.7825,1,2
21.35917967,399.461,1,2
20.76202671,388.293,1,2
20.08087238,375.554,1,2
20.029487709999998,374.593,1,2
21.052470402999997,393.7249,1,2
19.520838293999997,365.0802,1,2
20.552269246999998,384.3701,1,2
21.094738438,394.5154,1,2
20.877987099,390.4617,1,2
20.723474839999998,387.572,1,2
20.904903897,390.9651,1,2
20.018724199,374.3917,1,2
20.523042545,383.8235,1,2
20.764053222999998,388.3309,1,2
20.879949447999998,390.4984,1,2
21.049010894,393.6602,1,2
22.226484457999998,415.6814,1,2
20.009746586,374.2238,1,2
20.812379409,389.2347,1,2
21.15444304,395.632,1,2
31.603561884,394.8471,1,3
29.817285192000003,372.5298,1,3
32.034961476,400.2369,1,3
31.444314300000002,392.8575,1,3
34.71983124,433.781,1,3
32.141110524,401.5631,1,3
30.707137896,383.6474,1,3
33.405302304,417.3576,1,3
32.55663018,406.7545,1,3
32.535651695999995,406.4924,1,3
30.28745616,378.404,1,3
32.210040972,402.4243,1,3
33.182438927999996,414.5732,1,3
32.154717323999996,401.7331,1,3
32.687375519999996,408.388,1,3
33.464691984,418.0996,1,3
32.784688152,409.6038,1,3
33.98022162,424.5405,1,3
34.238694792,427.7698,1,3
34.024251624,425.0906,1,3
32.781606612,409.5653,1,3
32.13209802,401.4505,1,3
30.791924268000002,384.7067,1,3
32.882921244,410.8311,1,3
34.096831896000005,425.9974,1,3
32.572926324,406.9581,1,3
31.523137692000002,393.8423,1,3
33.21435888,414.972,1,3
32.839283436,410.2859,1,3
30.90432444,386.111,1,3
33.625996596,420.1149,1,3
27.498414336,343.5584,1,3
31.234257323999998,390.2331,1,3
30.919716131999998,386.3033,1,3
33.305820588,416.1147,1,3
32.716285968,408.7492,1,3
32.485826796,405.8699,1,3
36.189989952,452.1488,1,3
30.744956795999997,384.1199,1,3
32.6066952,407.38,1,3
32.514056904,406.2226,1,3
34.851056820000004,435.4205,1,3
35.628837516,445.1379,1,3
32.413150476,404.9619,1,3
32.783607612000004,409.5903,1,3
35.148773604,439.1401,1,3
34.630962828,432.6707,1,3
34.04573436,425.359,1,3
34.118978964,426.2741,1,3
34.324217532,428.8383,1,3
36.321119484,453.7871,1,3
34.865576076,435.6019,1,3
34.540365552,431.5388,1,3
34.911967260000004,436.1815,1,3
32.352135984,404.1996,1,3
34.076901936,425.7484,1,3
34.57896084,432.021,1,3
28.974135828,361.9957,1,3
34.040699844,425.2961,1,3
31.415868084,392.5021,1,3
30.527960351999997,381.4088,1,3
32.832912252,410.2063,1,3
33.718226688,421.2672,1,3
33.14412378,414.0945,1,3
30.160584756,376.8189,1,3
32.28765576,403.394,1,3
31.203922164,389.8541,1,3
33.077738604000004,413.2651,1,3
30.279308088,378.3022,1,3
30.527424084,381.4021,1,3
30.786393504000003,384.6376,1,3
30.937813176000002,386.5294,1,3
34.707216936,433.6234,1,3
33.785452284,422.1071,1,3
31.218785592,390.0398,1,3
31.215744072,390.0018,1,3
34.815302951999996,434.9738,1,3
31.89758082,398.5205,1,3
33.862530804,423.0701,1,3
33.435821556,417.7389,1,3
32.458084932,405.5233,1,3
32.766519072,409.3768,1,3
32.254807344,402.9836,1,3
32.468834304,405.6576,1,3
34.27048668,428.167,1,3
31.645911048,395.3762,1,3
33.912795924,423.6981,1,3
34.047207096,425.3774,1,3
35.11943094,438.7735,1,3
32.827853724,410.1431,1,3
31.524130187999997,393.8547,1,3
33.358142736,416.7684,1,3
31.7326584,396.46,1,3
35.095899179999996,438.4795,1,3
32.591863788,407.1947,1,3
34.124533740000004,426.3435,1,3
32.065656816,400.6204,1,3
32.39771076,404.769,1,3
32.035841916,400.2479,1,3
33.337692516,416.5129,1,3
33.645862523999995,420.3631,1,3
34.666780728,433.1182,1,3
31.645366776,395.3694,1,3
30.664556616000002,383.1154,1,3
32.099505732,401.0433,1,3
33.667033104,420.6276,1,3
31.078243356,388.2839,1,3
32.2615227,403.0675,1,3
31.672372272,395.7068,1,3
32.12613504,401.376,1,3
34.174454688,426.9672,1,3
29.962541784000003,374.3446,1,3
33.55232778,419.1945,1,3
32.122077012000005,401.3253,1,3
34.77269766,434.4415,1,3
32.54738556,406.639,1,3
30.91673064,386.266,1,3
32.790611112,409.6778,1,3
32.026149072,400.1268,1,3
32.805546576,409.8644,1,3
32.139229584,401.5396,1,3
33.560675952000004,419.2988,1,3
31.363185756,391.8439,1,3
33.211893648,414.9412,1,3
35.443680984,442.8246,1,3
31.835893992,397.7498,1,3
32.36249316,404.329,1,3
31.489072668,393.4167,1,3
34.091709336,425.9334,1,3
33.280599984,415.7996,1,3
32.353552692,404.2173,1,3
30.785937276,384.6319,1,3
32.845918752,410.3688,1,3
30.507053904,381.1476,1,3
32.946585060000004,411.6265,1,3
33.556241736000004,419.2434,1,3
33.382658988,417.0747,1,3
34.514496624,431.2156,1,3
32.143519728,401.5932,1,3
30.716982815999998,383.7704,1,3
33.645686436,420.3609,1,3
32.103667812,401.0953,1,3
35.063579028,438.0757,1,3
34.758778704,434.2676,1,3
29.548150692,369.1673,1,3
33.655131156,420.4789,1,3
32.610793248,407.4312,1,3
35.614502352,444.9588,1,3
34.734630636,433.9659,1,3
31.029154824,387.6706,1,3
33.592331772,419.6943,1,3
33.5341587,418.9675,1,3
32.871443508,410.6877,1,3
31.249448916000002,390.4229,1,3
32.958374952,411.7738,1,3
32.402048928,404.8232,1,3
33.701914536,421.0634,1,3
32.687303484,408.3871,1,3
30.992976744,387.2186,1,3
32.914721136000004,411.2284,1,3
33.05207778,412.9445,1,3
34.841428008,435.3002,1,3
